
Testing with  PPO for 250000 steps
Using cpu device
Wrapping the env in a DummyVecEnv.
----------------------------------
| rollout/           |           |
|    clip_fraction        | 0.231       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.09       |
|    explained_variance   | -1.19e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 44.3        |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0181     |
|    value_loss           | 199         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.89e+03   |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 16          |
|    time_elapsed         | 1606        |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.024160258 |
|    clip_fraction        | 0.321       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.06       |
|    explained_variance   | 3.28e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 41.4        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0147     |
|    value_loss           | 160         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -1.86e+03  |
| time/                   |            |
|    fps                  | 20         |
|    iterations           | 17         |
|    time_elapsed         | 1711       |
|    total_timesteps      | 34816      |
| train/                  |            |
|    approx_kl            | 0.01199453 |
|    clip_fraction        | 0.163      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.06      |
|    explained_variance   | -0.033     |
|    learning_rate        | 0.0003     |
|    loss                 | 49.1       |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.0287    |
|    value_loss           | 164        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.82e+03   |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 18          |
|    time_elapsed         | 1826        |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.013950936 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.06       |
|    explained_variance   | 0.0147      |
|    learning_rate        | 0.0003      |
|    loss                 | 15.2        |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0333     |
|    value_loss           | 103         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.78e+03   |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 19          |
|    time_elapsed         | 1935        |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.016685378 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.03       |
|    explained_variance   | -0.0873     |
|    learning_rate        | 0.0003      |
|    loss                 | 59          |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0361     |
|    value_loss           | 103         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.75e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 20          |
|    time_elapsed         | 2052        |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.014427794 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.05       |
|    explained_variance   | 0.09        |
|    learning_rate        | 0.0003      |
|    loss                 | 63.4        |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0298     |
|    value_loss           | 57.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.71e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 21          |
|    time_elapsed         | 2168        |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.015616396 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.99       |
|    explained_variance   | -0.0328     |
|    learning_rate        | 0.0003      |
|    loss                 | 5.68        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0263     |
|    value_loss           | 64.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.68e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 22          |
|    time_elapsed         | 2276        |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.014987133 |
|    clip_fraction        | 0.181       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.98       |
|    explained_variance   | 0.00856     |
|    learning_rate        | 0.0003      |
|    loss                 | 84.9        |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0304     |
|    value_loss           | 103         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.66e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 23          |
|    time_elapsed         | 2395        |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.016531229 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.01       |
|    explained_variance   | -0.0734     |
|    learning_rate        | 0.0003      |
|    loss                 | 10.6        |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0361     |
|    value_loss           | 56.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.63e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 24          |
|    time_elapsed         | 2511        |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.011851974 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.96       |
|    explained_variance   | 0.176       |
|    learning_rate        | 0.0003      |
|    loss                 | 9.39        |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0326     |
|    value_loss           | 79          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.61e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 25          |
|    time_elapsed         | 2635        |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.018847032 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | 0.0673      |
|    learning_rate        | 0.0003      |
|    loss                 | 12          |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0363     |
|    value_loss           | 39.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.59e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 26          |
|    time_elapsed         | 2758        |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.018833527 |
|    clip_fraction        | 0.225       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.93       |
|    explained_variance   | -0.0941     |
|    learning_rate        | 0.0003      |
|    loss                 | 7.67        |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0281     |
|    value_loss           | 61.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.57e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 27          |
|    time_elapsed         | 2866        |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.017904716 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | -0.0859     |
|    learning_rate        | 0.0003      |
|    loss                 | 74.2        |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0295     |
|    value_loss           | 59.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.56e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 28          |
|    time_elapsed         | 3002        |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.013794839 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.96       |
|    explained_variance   | 0.253       |
|    learning_rate        | 0.0003      |
|    loss                 | 21.1        |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.033      |
|    value_loss           | 62.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.54e+03   |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 29          |
|    time_elapsed         | 3122        |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.011719711 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.88       |
|    explained_variance   | 0.318       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.33        |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 35.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.53e+03   |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 30          |
|    time_elapsed         | 3249        |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.014383891 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | 0.284       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.39        |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0273     |
|    value_loss           | 51.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -1.51e+03   |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 31          |
|    time_elapsed         | 3380        |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.018363614 |
|    clip_fraction        | 0.199       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.88       |
|    explained_variance   | 0.226       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.67        |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.03       |
|    value_loss           | 45.7        |
-----------------------------------------
Traceback (most recent call last):
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/PolyominoEnv.py", line 297, in <module>
    test_model(PPO, training_steps=250000)
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/PolyominoEnv.py", line 282, in test_model
    model.learn(total_timesteps=training_steps, callback = checkpoint_callback)
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/.venv/lib64/python3.10/site-packages/stable_baselines3/ppo/ppo.py", line 311, in learn
    return super().learn(
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/.venv/lib64/python3.10/site-packages/stable_baselines3/common/on_policy_algorithm.py", line 324, in learn
    continue_training = self.collect_rollouts(self.env, callback, self.rollout_buffer, n_rollout_steps=self.n_steps)
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/.venv/lib64/python3.10/site-packages/stable_baselines3/common/on_policy_algorithm.py", line 218, in collect_rollouts
    new_obs, rewards, dones, infos = env.step(clipped_actions)
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/.venv/lib64/python3.10/site-packages/stable_baselines3/common/vec_env/base_vec_env.py", line 222, in step
    return self.step_wait()
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/.venv/lib64/python3.10/site-packages/stable_baselines3/common/vec_env/dummy_vec_env.py", line 59, in step_wait
    obs, self.buf_rews[env_idx], terminated, truncated, self.buf_infos[env_idx] = self.envs[env_idx].step(  # type: ignore[assignment]
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/.venv/lib64/python3.10/site-packages/stable_baselines3/common/monitor.py", line 94, in step
    observation, reward, terminated, truncated, info = self.env.step(action)
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/PolyominoEnv.py", line 165, in step
    response = self._send(data)
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/PolyominoEnv.py", line 96, in _send
    self._wait_for_update(self.seqno)
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/PolyominoEnv.py", line 115, in _wait_for_update
    topic, payload = self._recv()
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/PolyominoEnv.py", line 100, in _recv
    msg = self.listener.recv_string()
  File "/home/nao/Documents/Projects/polyomino/polyomino-imagery-env/gymnasium/.venv/lib64/python3.10/site-packages/zmq/sugar/socket.py", line 928, in recv_string
    msg = self.recv(flags=flags)
  File "_zmq.py", line 1147, in zmq.backend.cython._zmq.Socket.recv
  File "_zmq.py", line 1182, in zmq.backend.cython._zmq.Socket.recv
  File "_zmq.py", line 1342, in zmq.backend.cython._zmq._recv_copy
  File "_zmq.py", line 1337, in zmq.backend.cython._zmq._recv_copy
  File "_zmq.py", line 176, in zmq.backend.cython._zmq._check_rc
zmq.error.Again: Resource temporarily unavailable
nao@fedora ~/D/P/p/p/gymnasium (environment-additions) [1]> cd models/
nao@fedora ~/D/P/p/p/g/models (environment-additions)> ls
rl_model_100000_steps.zip  rl_model_114000_steps.zip  rl_model_22000_steps.zip  rl_model_38000_steps.zip  rl_model_52000_steps.zip  rl_model_66000_steps.zip  rl_model_8000_steps.zip   rl_model_96000_steps.zip
rl_model_10000_steps.zip   rl_model_116000_steps.zip  rl_model_24000_steps.zip  rl_model_40000_steps.zip  rl_model_54000_steps.zip  rl_model_68000_steps.zip  rl_model_82000_steps.zip  rl_model_98000_steps.zip
rl_model_102000_steps.zip  rl_model_12000_steps.zip   rl_model_26000_steps.zip  rl_model_4000_steps.zip   rl_model_56000_steps.zip  rl_model_70000_steps.zip  rl_model_84000_steps.zip
rl_model_104000_steps.zip  rl_model_14000_steps.zip   rl_model_28000_steps.zip  rl_model_42000_steps.zip  rl_model_58000_steps.zip  rl_model_72000_steps.zip  rl_model_86000_steps.zip
rl_model_106000_steps.zip  rl_model_16000_steps.zip   rl_model_30000_steps.zip  rl_model_44000_steps.zip  rl_model_60000_steps.zip  rl_model_74000_steps.zip  rl_model_88000_steps.zip
rl_model_108000_steps.zip  rl_model_18000_steps.zip   rl_model_32000_steps.zip  rl_model_46000_steps.zip  rl_model_6000_steps.zip   rl_model_76000_steps.zip  rl_model_90000_steps.zip
rl_model_110000_steps.zip  rl_model_20000_steps.zip   rl_model_34000_steps.zip  rl_model_48000_steps.zip  rl_model_62000_steps.zip  rl_model_78000_steps.zip  rl_model_92000_steps.zip
rl_model_112000_steps.zip  rl_model_2000_steps.zip    rl_model_36000_steps.zip  rl_model_50000_steps.zip  rl_model_64000_steps.zip  rl_model_80000_steps.zip  rl_model_94000_steps.zip
nao@fedora ~/D/P/p/p/g/models (environment-additions)> cd ..
nao@fedora ~/D/P/p/p/gymnasium (environment-additions)> nvim PolyominoEnv.py 
nao@fedora ~/D/P/p/p/gymnasium (environment-additions)> uv run PolyominoEnv.py
Testing with  PPO for 250000 steps
Using cpu device
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 1e+03    |
|    ep_rew_mean     | -270     |
| time/              |          |
|    fps             | 24       |
|    iterations      | 1        |
|    time_elapsed    | 83       |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -424        |
| time/                   |             |
|    fps                  | 15          |
|    iterations           | 2           |
|    time_elapsed         | 259         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.013008906 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.39       |
|    explained_variance   | -0.00106    |
|    learning_rate        | 0.0003      |
|    loss                 | 140         |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0297     |
|    value_loss           | 423         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -383         |
| time/                   |              |
|    fps                  | 16           |
|    iterations           | 3            |
|    time_elapsed         | 366          |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0154967215 |
|    clip_fraction        | 0.169        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.38        |
|    explained_variance   | -0.0561      |
|    learning_rate        | 0.0003       |
|    loss                 | 208          |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0435      |
|    value_loss           | 482          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -320        |
| time/                   |             |
|    fps                  | 17          |
|    iterations           | 4           |
|    time_elapsed         | 472         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.017134888 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.36       |
|    explained_variance   | -0.119      |
|    learning_rate        | 0.0003      |
|    loss                 | 116         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0487     |
|    value_loss           | 341         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -307        |
| time/                   |             |
|    fps                  | 17          |
|    iterations           | 5           |
|    time_elapsed         | 578         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.015873943 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | -0.0362     |
|    learning_rate        | 0.0003      |
|    loss                 | 105         |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0505     |
|    value_loss           | 368         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -302       |
| time/                   |            |
|    fps                  | 17         |
|    iterations           | 6          |
|    time_elapsed         | 683        |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.01922621 |
|    clip_fraction        | 0.198      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.33      |
|    explained_variance   | -0.154     |
|    learning_rate        | 0.0003     |
|    loss                 | 120        |
|    n_updates            | 50         |
|    policy_gradient_loss | -0.0555    |
|    value_loss           | 315        |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -266       |
| time/                   |            |
|    fps                  | 18         |
|    iterations           | 7          |
|    time_elapsed         | 789        |
|    total_timesteps      | 14336      |
| train/                  |            |
|    approx_kl            | 0.01499462 |
|    clip_fraction        | 0.173      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.3       |
|    explained_variance   | -0.0196    |
|    learning_rate        | 0.0003     |
|    loss                 | 185        |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0477    |
|    value_loss           | 570        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -200        |
| time/                   |             |
|    fps                  | 18          |
|    iterations           | 8           |
|    time_elapsed         | 898         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.014957129 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.28       |
|    explained_variance   | -0.0515     |
